id,tipo,nombre,texto
1,empresa,NVIDIA,"NVIDIA Corporation es una empresa de software y fabless que desarrolla unidades de procesamiento de gráficos (GPU), interfaz de programación de aplicaciones (API) para ciencia de datos y computación de alto rendimiento, así como unidades de sistema en chip (SoC) para la computación móvil y el mercado automotriz. NVIDIA es líder mundial en hardware de inteligencia artificial.​​ Su línea profesional de GPU se utiliza en estaciones de trabajo para aplicaciones en campos como arquitectura, [...]"
2,empresa,Airbnb,"Airbnb, es una compañía que ofrece una plataforma digital dedicada a la oferta de alojamientos a particulares y turísticos (alquiler vacacional) mediante la cual los anfitriones pueden publicitar y contratar el arriendo de sus propiedades con sus huéspedes; anfitriones y huéspedes pueden valorarse mutuamente, como referencia para futuros usuarios. El nombre es un acrónimo de airbed and breakfast.​ Airbnb tiene una oferta de unas 2 000 000 [...]"
3,empresa,Samsung,"Samsung Group o simplemente Samsung (estilizado como SΛMSUNG) es un conglomerado de empresas multinacionales con sede en Suwon, Corea del Sur. Se trata del mayor grupo empresarial surcoreano, con numerosas filiales que abarcan negocios como la electrónica de consumo, tecnología, finanzas, aseguradoras, construcción, biotecnología y sector servicios.​ El grupo fue fundado en 1938 por el empresario Lee Byung- [...]"
4,empresa,Google,"Google LLC, más conocida como Google, es una empresa de tecnología multinacional con sede en California, Estados Unidos, que se centra en inteligencia artificial, navegador inteligente, publicidad en línea, tecnología de motores de búsqueda, computación en la nube, software, computación cuántica, comercio electrónico y electrónica de consumo.​ Es una de las marcas más valiosas del mundo debido a su dominio del mercado, recopilación de datos y ventajas [...]"
5,cientifico,Marie Curie,"Maria Salomea Skłodowska-Curie,​​ más conocida como Marie Curie​​ o Madame Curie (Varsovia, 7 de noviembre de 1867-Passy, 4 de julio de 1934), fue una física y química de origen polaco. Pionera en el campo de la radiactividad, es la primera y única persona en recibir dos premios Nobel en distintas especialidades científicas: Física y Química.​ También fue la primera mujer en ocupar el puesto de profesora en la Universidad de París y la primera en recibir sepultura con honores en el Panteón [...]"
6,cientifico,Alan Turing,"Alan Mathison Turing (Paddington, Londres; 23 de junio de 1912-Wilmslow, Cheshire; 7 de junio de 1954) fue un matemático, lógico, informático teórico, criptógrafo, filósofo y biólogo teórico británico.​​​​​ Es considerado como uno de los padres de la ciencia de la computación y precursor de la informática moderna. Proporcionó una formalización influyente de los conceptos de algoritmo y computación: la máquina de Turing. Formuló su propia versión que hoy es ampliamente aceptada como la [...]"
7,cientifico,Albert Einstein,"Albert Einstein (Ulm, Imperio alemán, 14 de marzo de 1879-Princeton, Estados Unidos, 18 de abril de 1955) fue un físico alemán de origen judío, nacionalizado después suizo, austriaco y estadounidense. Se le considera el científico más importante, conocido y popular del siglo XX.​​ En 1905, cuando era un joven físico desconocido, empleado en la Oficina de Patentes de Berna, publicó su teoría de la relatividad especial. En ella incorporó, en [...]"
8,cientifico,Stephen Hawking,"Stephen William Hawking (Oxford, 8 de enero de 1942-Cambridge, 14 de marzo de 2018)​​ fue un físico teórico, astrofísico, cosmólogo y divulgador científico británico. Sus trabajos más importantes consistieron en aportar, junto con Roger Penrose, teoremas respecto a las singularidades espaciotemporales en el marco de la relatividad general y la predicción teórica de que los agujeros negros emitirían radiación,​ lo que se conoce hoy en día como [...]"
